FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.0004130a-dcc8-318a-8418-dbf0a94a0dc2,-58.83,-26.577,2019-07-08T17:40:00,AQUA_M-T,Libertador General San Martín,Chaco,Argentina,POINT (-26.577 -58.83)
focos_ams_ontem_hoje_ref.00048ebb-c1eb-3ffb-ad23-423f78d28145,-61.39,-23.244,2019-07-08T17:40:00,AQUA_M-T,Doctor Pedro P. Peña,Boquerón,Paraguay,POINT (-23.244 -61.39)
focos_ams_ontem_hoje_ref.0008a630-ef68-394c-846f-05dfa06dc010,-57.587,-22.065,2019-07-08T17:40:00,AQUA_M-T,PORTO MURTINHO,MATO GROSSO DO SUL,Brasil,POINT (-22.065 -57.587)
focos_ams_ontem_hoje_ref.007f0a9d-17cd-30b1-9bba-44db3d1f7176,-56.548,-24.025,2019-07-08T17:40:00,AQUA_M-T,Lima,San Pedro,Paraguay,POINT (-24.025 -56.548)
focos_ams_ontem_hoje_ref.008ab213-4453-3c91-ad38-4e876ae9441e,-60.013,-22.102,2019-07-08T17:40:00,AQUA_M-T,Mariscal José Félix Estigarribia,Boquerón,Paraguay,POINT (-22.102 -60.013)
focos_ams_ontem_hoje_ref.00a2adce-dff7-392b-86be-5e29331b6383,-47.448,-10.014,2019-07-08T16:05:00,AQUA_M-T,NOVO ACORDO,TOCANTINS,Brasil,POINT (-10.014 -47.448)
focos_ams_ontem_hoje_ref.012e472a-b801-3149-819d-25abdf818d64,-56.964,-29.209,2019-07-08T17:40:00,AQUA_M-T,Paso de los Libres,Corrientes,Argentina,POINT (-29.209 -56.964)
focos_ams_ontem_hoje_ref.01a53ec3-e96c-3d92-8cfc-83da9c013dce,-62.402,-27.766,2019-07-08T17:40:00,AQUA_M-T,Moreno,Santiago del Estero,Argentina,POINT (-27.766 -62.402)
focos_ams_ontem_hoje_ref.01e272a2-87f0-3a77-a2d2-fcd7b09be83c,-58.604,-27.738,2019-07-08T17:40:00,AQUA_M-T,Empedrado,Corrientes,Argentina,POINT (-27.738 -58.604)
focos_ams_ontem_hoje_ref.02200fed-9a6c-3624-8153-eda71e263cd0,-64.415,-13.508,2019-07-08T17:45:00,AQUA_M-T,Mamoré,El Beni,Bolivia,POINT (-13.508 -64.415)
focos_ams_ontem_hoje_ref.025c34a1-0c2e-3cbc-8b4d-28cb939b046a,-57.703,-9.891,2019-07-08T17:45:00,AQUA_M-T,NOVA BANDEIRANTES,MATO GROSSO,Brasil,POINT (-9.891 -57.703)
focos_ams_ontem_hoje_ref.026b62e5-144b-35f5-8a24-0b18bc85179a,-60.632,-27.042,2019-07-08T17:40:00,AQUA_M-T,O'Higgins,Chaco,Argentina,POINT (-27.042 -60.632)
focos_ams_ontem_hoje_ref.027ec15c-4a00-398a-9b34-00c0f88019fb,-58.023,-29.064,2019-07-08T17:40:00,AQUA_M-T,Mercedes,Corrientes,Argentina,POINT (-29.064 -58.023)
focos_ams_ontem_hoje_ref.032e13c2-80ae-38fa-80e9-d7fb65cf09d1,-58.642,-24.98,2019-07-08T17:40:00,AQUA_M-T,Pilagás,Formosa,Argentina,POINT (-24.98 -58.642)
focos_ams_ontem_hoje_ref.034e9c4d-d055-3227-9eab-7df55c1d7c2a,-53.77,-28.894,2019-07-08T17:40:00,AQUA_M-T,TUPANCIRETÃ,RIO GRANDE DO SUL,Brasil,POINT (-28.894 -53.77)
focos_ams_ontem_hoje_ref.038ff835-99b5-3e51-8dbf-ad6ef5bb7541,-60.365,-16.6,2019-07-08T17:45:00,AQUA_M-T,José Miguel de Velasco,Santa Cruz,Bolivia,POINT (-16.6 -60.365)
focos_ams_ontem_hoje_ref.03b51daf-016f-33f1-95bd-5cf4d58b7ca4,-56.131,-24.769,2019-07-08T17:40:00,AQUA_M-T,San Estanislao,San Pedro,Paraguay,POINT (-24.769 -56.131)
focos_ams_ontem_hoje_ref.03c0714b-c960-3ef1-9d75-71e17c03b841,-57.111,-20.371,2019-07-08T17:40:00,AQUA_M-T,PORTO MURTINHO,MATO GROSSO DO SUL,Brasil,POINT (-20.371 -57.111)
focos_ams_ontem_hoje_ref.0401316e-c459-3f9e-94dd-8cc13d1dcdd3,-60.063,-17.385,2019-07-08T17:45:00,AQUA_M-T,Chiquitos,Santa Cruz,Bolivia,POINT (-17.385 -60.063)
focos_ams_ontem_hoje_ref.040ad0df-3c42-3ef8-9eb8-7ca16b864703,-57.516,-34.298,2019-07-08T17:40:00,AQUA_M-T,n.a310,Colonia,Uruguay,POINT (-34.298 -57.516)
focos_ams_ontem_hoje_ref.0424517f-4a6f-37a8-9bef-d304642e3eb9,-60.48,-15.449,2019-07-08T17:45:00,AQUA_M-T,José Miguel de Velasco,Santa Cruz,Bolivia,POINT (-15.449 -60.48)
focos_ams_ontem_hoje_ref.0450c3e9-1c7d-3961-9a0f-8ff291cf63ad,-58.613,-27.749,2019-07-08T17:40:00,AQUA_M-T,Empedrado,Corrientes,Argentina,POINT (-27.749 -58.613)
focos_ams_ontem_hoje_ref.0470e422-78cf-3ea2-b54b-47d33027d058,-61.129,-22.965,2019-07-08T17:40:00,AQUA_M-T,Doctor Pedro P. Peña,Boquerón,Paraguay,POINT (-22.965 -61.129)
focos_ams_ontem_hoje_ref.04b10b4f-e0c0-3dcb-804f-8241b363491f,-64.068,-8.892,2019-07-08T17:45:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-8.892 -64.068)
focos_ams_ontem_hoje_ref.04d40950-8984-3149-9aa7-e24c90cef4be,-58.879,-18.814,2019-07-08T17:45:00,AQUA_M-T,Cordillera,Santa Cruz,Bolivia,POINT (-18.814 -58.879)
focos_ams_ontem_hoje_ref.05068308-e070-3448-8156-a6e0c5fc7dbd,-64.363,-23.613,2019-07-08T17:40:00,AQUA_M-T,Santa Bárbara,Jujuy,Argentina,POINT (-23.613 -64.363)
focos_ams_ontem_hoje_ref.052d4d26-6566-3ad6-992f-a65f88bad806,-60.59,-21.134,2019-07-08T17:40:00,AQUA_M-T,General Eugenio A. Garay,Boquerón,Paraguay,POINT (-21.134 -60.59)
focos_ams_ontem_hoje_ref.055b74b1-529d-38c2-9c20-e172dd52eff8,-56.755,-26.36,2019-07-08T17:40:00,AQUA_M-T,Mbuyapey,Paraguarí,Paraguay,POINT (-26.36 -56.755)
focos_ams_ontem_hoje_ref.05d03550-aab8-3279-9358-5b586a6a9bb1,-54.603,-12.724,2019-07-08T17:45:00,AQUA_M-T,NOVA UBIRATÃ,MATO GROSSO,Brasil,POINT (-12.724 -54.603)
focos_ams_ontem_hoje_ref.067054b9-ebff-3431-a31b-d962774badf9,-56.313,-24.774,2019-07-08T17:40:00,AQUA_M-T,Yataity del Norte,San Pedro,Paraguay,POINT (-24.774 -56.313)
focos_ams_ontem_hoje_ref.06b49a68-986b-3910-be88-927dd1c77d5f,-55.751,-23.878,2019-07-08T17:40:00,AQUA_M-T,Itanara,Canindeyú,Paraguay,POINT (-23.878 -55.751)
focos_ams_ontem_hoje_ref.06b5191b-5c28-377c-97a0-a563683cda3e,-56.308,-23.933,2019-07-08T17:40:00,AQUA_M-T,General Isidoro Resquín,San Pedro,Paraguay,POINT (-23.933 -56.308)
focos_ams_ontem_hoje_ref.06eefcde-180d-33a8-92c0-02f3330f01fd,-42.974,-18.071,2019-07-08T16:05:00,AQUA_M-T,ITAMARANDIBA,MINAS GERAIS,Brasil,POINT (-18.071 -42.974)
